petition_id,label_length,abstract_length,num_signatures
12247,8,45,6077572
7807,8,33,4150262
9385,12,40,1863708
6161,9,52,608104
173,8,14,596875
10430,7,12,586930
3528,12,33,463501
12154,11,48,339925
233,11,44,317542
10523,13,46,307585
292,13,51,269157
5502,9,55,245783
5670,6,49,238769
11138,16,19,237396
928,9,53,236995
1527,15,49,227745
11778,10,47,221866
10229,10,29,221514
479,6,47,216949
1165,11,26,213624
5387,8,49,212743
4254,14,57,205359
9292,13,53,204790
11750,12,24,203236
1156,6,41,199391
8003,7,45,192080
10784,5,41,190223
976,10,53,189881
5095,10,33,187902
11773,12,54,185175
10901,15,49,180482
4890,6,46,177014
10509,13,34,170981
8210,13,40,168160
11609,12,50,165932
12360,14,49,164166
3620,4,42,162568
568,10,54,161347
7580,13,26,156599
6970,14,47,155516
11727,14,39,153679
11693,15,55,152420
9780,9,46,151403
10490,13,59,150110
5352,16,45,149138
7601,12,55,148327
11159,14,48,148249
730,12,50,147307
8319,10,48,146452
2296,11,50,143653
7025,4,54,141838
10660,6,45,136890
10072,8,24,136468
5221,7,55,135939
7334,8,46,134194
12115,14,56,133921
9290,7,46,133069
6324,11,23,131365
3551,8,46,128238
925,11,51,128210
377,13,39,128002
7527,10,34,127729
12049,2,48,127296
3785,15,48,127199
809,10,36,125958
11186,4,44,123077
9977,10,51,120680
7557,12,53,120129
759,14,43,118056
5323,11,46,118034
8724,9,51,117716
7003,12,14,116485
5991,14,31,114504
6181,13,34,114122
10647,15,44,113614
9547,15,48,113285
4126,4,49,112636
10985,2,47,112585
5318,11,48,112027
5166,9,44,110876
1676,14,45,110137
8186,11,50,110065
12165,9,50,109554
5749,9,50,108530
7952,10,48,108320
6170,14,45,107352
9638,13,52,107177
3900,15,51,106633
1607,14,40,106409
10944,11,49,105772
9683,14,51,104038
9688,10,46,103554
2902,7,48,102499
7158,12,48,102131
4153,14,47,101980
1335,7,46,101941
1823,9,53,100752
12116,12,39,98292
4749,11,40,91913
12341,13,51,89802
10376,14,41,83220
8270,14,49,81328
5593,12,53,81192
9711,5,48,81148
5159,7,49,80691
1319,13,42,78468
5866,11,44,72120
6729,6,52,72096
12148,9,45,71317
3833,11,49,71178
10145,11,54,70481
12140,13,51,68044
8385,11,41,67959
5572,10,42,67158
7647,4,29,66972
4571,13,48,66256
6294,9,55,65221
10570,12,58,64226
9413,8,50,64016
4180,12,42,63725
11439,7,43,63538
5268,11,43,62478
7416,3,41,61101
3732,9,49,60894
10025,15,49,58448
869,8,57,58293
10756,9,52,57456
9887,15,43,57418
5781,12,50,56983
9963,10,50,56301
4307,8,17,55504
1302,8,52,55152
2128,16,48,54697
2479,12,25,54116
3364,6,24,53706
7806,12,44,53525
8382,11,44,53432
2960,5,30,52712
1954,8,23,52501
935,13,45,52453
6563,9,53,52149
10070,8,47,51234
10598,11,53,50697
5924,6,36,50414
160,12,33,50399
8558,7,36,48775
7915,9,42,47972
11736,12,48,46663
319,12,29,46596
2303,13,47,46161
1813,14,51,45994
6773,13,40,45924
1714,13,53,45800
10953,12,52,45624
5411,17,53,45413
6284,12,43,44665
779,13,43,43435
692,10,45,43261
9493,12,31,42844
1923,13,60,42652
10580,11,42,42600
10844,10,46,41961
12213,10,57,41382
5831,12,55,40518
3761,14,44,40303
5839,14,47,39843
2925,13,50,39560
7195,11,51,39290
5609,17,47,39088
3931,10,47,38732
3543,8,53,38515
6941,11,58,38425
3987,14,47,38070
12276,14,45,37928
9229,13,49,37282
10832,11,56,37280
8608,10,51,37252
5364,9,42,37155
5628,9,38,36865
898,11,41,36776
5852,11,53,36665
4194,11,18,36371
3404,7,31,36320
7581,7,48,36199
1189,10,16,35492
1583,8,48,35352
1899,9,50,35203
1070,14,41,34972
2417,9,44,34804
10007,9,45,34671
8378,4,34,34440
11769,8,46,34153
2292,5,45,34083
732,12,28,33686
151,4,39,33655
10414,14,48,33556
10249,7,44,33318
1028,12,56,33044
10198,12,43,32943
10723,14,53,32404
11718,7,57,32282
10736,13,49,32010
9313,12,49,31846
1913,16,51,31708
10739,10,44,31578
12281,12,52,31522
9787,10,43,31418
6669,16,49,31281
3393,15,48,31122
6912,13,52,30665
576,7,48,30387
7354,14,43,30214
10020,11,46,29876
11046,13,47,29843
10321,8,51,29775
11600,14,45,29634
724,16,38,29613
11,11,52,29463
3263,11,47,29423
801,14,48,29258
11460,4,43,29200
7040,7,46,29114
6140,11,27,28986
3808,7,54,28960
4856,8,57,28935
8026,10,53,28807
4830,12,42,28678
10405,8,46,28643
28,9,40,28609
4735,11,50,28589
1800,9,47,28546
9136,12,53,28410
3231,16,50,28214
3499,10,52,28118
5241,14,45,27885
8139,9,47,27868
8801,13,53,27695
7054,8,58,27605
2112,14,49,27525
11207,13,46,27509
11752,12,51,27502
11965,7,51,27277
505,12,49,27211
8821,12,42,27151
2420,15,53,27005
1294,13,33,26951
10884,9,31,26754
7613,9,41,26741
4884,12,39,26712
7679,12,52,26459
2953,12,49,26073
1604,10,27,25897
10713,10,57,25858
9828,15,22,25834
7866,6,8,25638
7834,13,49,25533
